customer_id,first_name,last_name,total_rentals,total_spent,film_id,film_title,category_name,film_rental_count,film_revenue,rental_month
130,CHARLOTTE,HUNTER,1,2.99,80,"BLANKET BEVERLY",Family,1,2.99,5
459,TOMMY,COLLAZO,1,2.99,333,"FREAKY POCUS",Music,1,2.99,5
408,MANUEL,MURRELL,1,3.99,373,"GRADUATE LORD",Children,1,3.99,5
333,ANDREW,PURDY,1,4.99,535,"LOVE SUICIDES",Horror,1,4.99,5
222,DELORES,HANSEN,1,6.99,450,"IDOLS SNATCHERS",Children,1,6.99,5
549,NELSON,CHRISTENSON,1,0.99,613,"MYSTIC TRUMAN",Comedy,1,0.99,5
269,CASSANDRA,WALTERS,1,1.99,870,"SWARM GOLD",Horror,1,1.99,5
239,MINNIE,ROMERO,1,4.99,510,"LAWLESS VISION",Animation,1,4.99,5
126,ELLEN,SIMPSON,1,4.99,565,"MATRIX SNOWMAN",Foreign,1,4.99,5
399,DANNY,ISOM,1,5.99,396,"HANGING DEEP",Drama,1,5.99,5
142,APRIL,BURNS,1,8.99,971,"WHALE BIKINI",Foreign,1,8.99,5
261,DEANNA,BYRD,1,4.99,347,"GAMES BOWFINGER",Travel,1,4.99,5
334,RAYMOND,MCWHORTER,1,6.99,499,"KING EVOLUTION",Family,1,6.99,5
446,THEODORE,CULP,1,0.99,593,"MONTEREY LABYRINTH",Horror,1,0.99,5
319,RONALD,WEINER,1,9.99,670,"PELICAN COMFORTS",Documentary,1,9.99,5
316,STEVEN,CURLEY,1,4.99,86,"BOOGIE AMELIE",Music,1,4.99,5
575,ISAAC,OGLESBY,1,2.99,181,"CONTACT ANONYMOUS",Travel,1,2.99,5
19,RUTH,MARTINEZ,1,0.99,741,"ROMAN PUNK",Music,1,0.99,5
456,RONNIE,RICKETTS,1,4.99,422,"HOLLOW JEOPARDY",Sci-Fi,1,4.99,5
185,ROBERTA,HARPER,1,2.99,770,"SCISSORHANDS SLUMS",Foreign,1,2.99,5
388,CRAIG,MORRELL,1,4.99,31,"APACHE DIVINE",Family,1,4.99,5
509,RAUL,FORTIER,1,4.99,159,"CLOSER BANG",Comedy,1,4.99,5
438,BARRY,LOVELACE,1,4.99,971,"WHALE BIKINI",Foreign,1,4.99,5
350,JUAN,FRALEY,1,4.99,721,"REDS POCUS",Music,1,4.99,5
37,PAMELA,BAKER,1,0.99,863,"SUN CONFESSIONS",Sci-Fi,1,0.99,5
371,BILLY,POULIN,1,3.99,953,"WAIT CIDER",Animation,1,3.99,5
301,ROBERT,BAUGHMAN,1,4.99,271,"EASY GLADIATOR",Action,1,4.99,5
232,CONSTANCE,REID,1,4.99,887,"THIEF PELICAN",Animation,1,4.99,5
44,MARIE,TURNER,1,0.99,132,"CHAINSAW UPTOWN",Sci-Fi,1,0.99,5
430,RAY,HOULE,1,2.99,819,"SONG HEDWIG",Music,1,2.99,5
369,FRED,WHEAT,1,4.99,979,"WITCHES PANIC",Drama,1,4.99,5
230,JOY,GEORGE,1,0.99,839,"STALLION SUNDANCE",Sci-Fi,1,0.99,5
272,KAY,CALDWELL,1,0.99,367,"GOLDMINE TYCOON",Sci-Fi,1,0.99,5
597,FREDDIE,DUGGAN,1,2.99,573,"MICROCOSMOS PARADISE",Children,1,2.99,5
484,ROBERTO,VU,1,4.99,284,"ENEMY ODDS",Music,1,4.99,5
